rain_mm,temperature_c,humidity_pct,sun_mj_m2_day,crop_type,yield
0.0,32.77,45.99,28.77,,
0.0,32.26,52.19,28.75,,
0.0,33.62,49.64,28.53,,
0.0,32.88,50.3,28.17,,
0.0,32.12,49.45,28.12,,
0.0,30.59,54.74,27.95,,
0.0,29.37,56.57,28.18,,
0.0,29.41,54.34,27.15,,
0.0,29.86,54.85,26.36,,
0.11,29.78,56.84,26.62,,
0.0,30.63,46.99,27.74,,
0.03,30.71,51.61,27.26,,
0.0,30.0,52.79,27.42,,
0.0,30.11,52.0,27.75,,
0.0,29.22,54.35,27.7,,
0.01,30.1,55.67,27.29,,
0.0,31.82,51.58,27.21,,
0.0,33.49,44.76,26.9,,
0.01,33.41,48.47,26.7,,
1.17,33.26,49.4,26.19,,
0.1,33.42,48.17,26.25,,
0.0,33.19,50.16,26.43,,
0.0,32.21,52.19,26.63,,
0.0,30.46,53.21,26.29,,
0.0,29.68,51.95,26.71,,
0.0,30.83,48.02,26.33,,
0.0,32.9,40.89,26.07,,
0.0,30.93,49.26,26.15,,
0.0,30.81,50.36,26.25,,
0.0,30.65,52.27,26.21,,
0.0,31.57,50.93,26.09,,
0.0,31.39,52.79,26.0,,
0.0,30.03,51.42,25.68,,
